Book ID,Reservation Date,Checkout Date,Return Date,Member ID
1,23/09/2020,--,--,2709
1,--,15/09/2020,24/09/2020,1163
2,--,23/04/2021,04/05/2021,8151
2,27/04/2021,--,--,6827
2,--,03/08/2022,04/08/2022,1669
2,--,08/06/2021,08/10/2021,1624
2,--,05/12/2021,29/01/2022,8427
2,--,30/01/2022,04/02/2022,1912
2,03/02/2022,--,--,7663
3,19/11/2019,--,--,8909
3,--,03/01/2020,27/02/2020,6459
3,--,27/03/2020,28/03/2020,2289
3,13/03/2020,--,--,7029
3,--,30/03/2020,01/05/2020,1668
3,--,26/08/2020,18/11/2020,2402
3,--,20/11/2021,21/12/2021,3032
4,24/10/2020,--,--,6073
4,--,14/10/2020,25/10/2020,5086
4,--,09/11/2020,30/12/2020,4034
4,16/12/2020,--,--,3047
4,--,17/01/2021,21/01/2021,8753
5,--,19/09/2020,13/12/2020,2143
5,19/10/2020,--,--,8342
6,--,19/10/2020,12/11/2020,4753
7,19/12/2020,--,--,5602
7,--,13/12/2020,20/12/2020,8601
7,--,21/12/2020,27/12/2020,4094
7,--,08/03/2021,27/09/2021,9661
7,--,12/10/2021,21/11/2021,4504
7,--,09/12/2021,16/12/2021,5110
8,--,10/08/2018,10/09/2018,1234
8,07/09/2018,--,--,6152
8,--,12/11/2020,15/08/2021,4359
8,16/07/2021,--,--,4046
8,--,27/07/2021,27/10/2021,8049
9,10/11/2020,--,--,2287
9,--,12/11/2020,15/08/2021,7961
10,--,27/09/2020,16/10/2021,3778
10,--,26/12/2021,29/12/2021,2633
10,--,01/01/2022,11/01/2022,5843
10,05/01/2022,--,--,7316
11,06/03/2021,--,--,1921
11,--,14/05/2021,07/08/2021,4961
11,24/07/2021,--,--,9516
12,18/06/2021,--,--,4303
12,--,21/08/2021,23/10/2021,5738
12,--,28/10/2021,29/10/2022,4178
13,15/09/2019,--,--,7750
13,--,11/09/2019,13/07/2020,9994
13,24/06/2019,--,--,7059
13,--,28/01/2021,20/06/2021,4424
13,--,04/09/2022,09/09/2022,5968
14,27/06/2020,--,--,2281
14,--,26/07/2020,29/07/2020,6317
14,--,11/11/2020,28/01/2021,5977
15,16/12/2020,--,--,5088
15,--,15/12/2019,21/12/2019,5559
15,--,16/09/2021,03/10/2021,3063
15,17/09/2021,--,--,6217
15,--,29/02/2020,20/06/2020,2822
15,--,18/12/2021,04/03/2022,8062
15,--,07/06/2022,25/07/2022,8593
16,--,08/07/2020,30/07/2020,8678
16,--,24/05/2021,29/05/2022,6088
17,--,18/11/2019,28/12/2019,5306
